Type	Building	Room	OS	PCs	Macs	Software	Presentation	Ext.	SupportContact	Specialty	Hours	"Enter value ""1"" to add entry to ""Media Services Spaces"" Worksheet.  Leave blank to omit."	"Enter value ""1"" to add entry to ""Technology Lab Spaces""  Leave blank to omit."	"Enter value ""1"" to add entry to ""Classroom Technology"" worksheet.  Leave blank to omit."	blg	PCQty	MacQty
Audio/Video Suite	i	807	Mac	0	1	Audio Suite Software			See Lab Staff	B&W Printing Color Printing ProColor Printing  Plotter Printing  Avid Digi003-Studio   Dorrough's 40-A Analog Loudness Meter  Tannoy Reveal 601a Studio Monitors	Reserve in MyNewSchool		1		i		
Audio/Video Suite	i	8127	Mac	0	1	Audio Suite Software			See Lab Staff	B&W Printing Color Printing ProColor Printing  Plotter Printing  Pro Tools TDM 10  Dorrough's 40-A Analog Loudness Meter  Denon DN-600F CD Player  Fostex D-15 Digital Master Recorder  Avid Command8 controller  API A2D Mic. Preamp  Kramer VS-88A Router  Tannoy Reveal 601a Studio Monitors  Acoustic Treatment 	Reserve in MyNewSchool		1		i		
Audio/Video Suite	i	8137	Mac	0	1	Mac Standard Software			See Lab Staff	Betacam SP  DVD-DVD Recorder  Cassette  CD Player  DAT  DVD/VCD Player  Laser Disc Player  SVHS  Waveform Vectorscope   TV Monitors  M-Box 2 Pro for capture into GarageBand & Audition  Mac station with Kona LHi Capture Card and RAID storage array.	Reserve in MyNewSchool		1		i		
Audio/Video Suite	i	8147	Mac	0	1	Mac Standard Software + Avid			See Lab Staff	B&W Printing Color Printing ProColor Printing  Plotter Printing  Multi-Format Card Reader  Avid Artist Control  Digital audio interface  Speakers  Panasonic HDTV monitor with auxiliary connection	Reserve in MyNewSchool		1		i		
Audio/Video Suite	i	8157	Mac	0	1	Mac Standard Software + Avid			See Lab Staff	B&W Printing Color Printing ProColor Printing  Plotter Printing  Multi-Format Card Reader  Avid Artist Control  Digital audio interface  Speakers  Panasonic HDTV monitor with auxiliary connection	Reserve in MyNewSchool		1		i		
Audio/Video Suite	i	8167	Mac	0	1	Mac Standard Software + Avid			See Lab Staff	B&W Printing Color Printing ProColor Printing  Plotter Printing  Multi-Format Card Reader  Avid Artist Control  Digital audio interface  Speakers  Panasonic HDTV monitor with auxiliary connection	Reserve in MyNewSchool		1		i		
Audio/Video Suite	i	8177	Mac	0	1	Audio Suite Software			See Lab Staff	B&W Printing Color Printing ProColor Printing  Plotter Printing  Pro Tools TDM 10  Novation Impulse61 MIDI keyboard  Dorrough's 40-A Analog Loudness Meter  Denon DN-600F CD Player  Tascam CF/CD Backup recorder  Avid Command8 controller  API A2D Mic. Preamp  Kramer VS-88A Router  Tannoy Reveal 601a Studio Monitors  Acoustic Treatment 	Reserve in MyNewSchool		1		i		
Audio/Video Suite	i	818		0	0				See Lab Staff	Soundproof recording booth  Video monitor and audio recording inputs with connection to i820-Audio03 and i817-Audio04	Reserve in MyNewSchool		1		i		
Audio/Video Suite	i	820	Mac	0	1	Audio Suite Software			See Lab Staff	B&W Printing Color Printing ProColor Printing  Plotter Printing  Avid C24 Console  Digidesign master synch interface   Dorrough's 40-A Analog Loudness Meter  Preamps API A2D & UA 2-610   Dual Vacuum-tube Processor  Compressor  Electronic Finalizers  Equalizer/Limiter  Delay F/X Machine  Mackie 16.8 Bus Mixing Console  Tascam CF/CD Backup Recorder  Denon DN-600F CD Player  DVD Player  Tannoy Reveal 601a Studio Monitors  Acoustic Treatment	Reserve in MyNewSchool		1		i		
Classroom & Audio/Video Suite	i	821	Mac	0	1	Mac Standard Software + Avid	"Blu-ray, DVD, VHS, 46? LCD, Multi-format Card Reader, HD Projector (B5 type)"		See Lab Staff	B&W Printing Color Printing ProColor Printing  Plotter Printing  XLR inputs for i820-Audio03  Headphone amps 1 & 2  Lighting Grid  Multi-Format Card Reader  Acoustic Treatment	Reserve in MyNewSchool		1	1	i		
Help Kiosks	i	900	Mac	0	1	Mac Help Kiosk Software			See Lab Staff	B&W Printing Color Printing ProColor Printing  Plotter Printing	Lab Hours		1		i		
Classroom	i	907	Mac	0	1	Mac & Windows PC Standard Software	"Blu-ray, DVD, VHS, Aux HDMI & DVI connection, HD Projector (A1 type)"		IT Service Desk 212.229.5300 x4357	B&W Printing Color Printing ProColor Printing  Plotter Printing	Todays Classroom Schedule			1	i		
Classroom	i	908	Mac	0	1	Mac & Windows PC Standard Software	"Blu-ray, DVD, VHS, Aux HDMI & DVI connection, HD Projector (A1 type)"		IT Service Desk 212.229.5300 x4357	B&W Printing Color Printing ProColor Printing  Plotter Printing	Todays Classroom Schedule			1	i		
Classroom	i	909	Mac	0	1	Mac & Windows PC Standard Software	"DVD, VHS, Multi-format Card Reader, 13in TV (B1 type)"		IT Service Desk 212.229.5300 x4357	B&W Printing Color Printing ProColor Printing  Plotter Printing	Todays Classroom Schedule			1	i		
Classroom	i	913	Windows PC	18	0	Windows PC Standard Software	"Blu-ray, DVD, VHS, Aux HDMI & DVI connection, HD Projector (A1 type)"		IT Service Desk 212.229.5300 x4357	"B&W Printing Color Printing ProColor Printing  Plotter Printing  3 flat bed scanners: i913-01, 13, 18"	Todays Classroom Schedule			1	i		
Classroom	i	930	Mac	0	1	Mac & Windows PC Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357	B&W Printing Color Printing ProColor Printing  Plotter Printing	Todays Classroom Schedule			1	i		
Classroom	L	1005B	Mac	0	1	Mac Standard Software	"DVD, VHS (A1 type)"		IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	L		
Classroom	L	1006	Mac	0	1	Mac Standard Software	"Blu-ray, DVD, VHS, Aux HDMI & DVI connection, HD Projector (A4 type)"		IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	L		
Conference Room	L	101	SVGA Only	0	0		"42"" Plasma monitor"		Media Services 212.229.5300 x2310			1			L		
Classroom	L	1100	Mac	0	1	Mac Standard Software	"Blu-ray, DVD, VHS, Aux HDMI & DVI connection, HD Projector (A4 type)"		IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	L		
Classroom	L	1101	Mac	0	1	Mac Standard Software	"DVD, VHS (A1 type)"		IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	L		
Classroom	L	1102	Mac	0	1	Mac Standard Software	"DVD, VHS (A1 type)"		IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	L		
Classroom	L	1103	Mac	0	1	Mac Standard Software	"DVD, VHS (A1 type)"		IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	L		
Classroom	L	1104	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	L		
Classroom	L	1108	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	L		
Classroom	L	1111	Mac	0	1	Mac Standard Software	"DVD, VHS (A1 type)"		IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	L		
Classroom	L	300	Mac	0	1	Mac Standard Software	"DVD, VHS, (B1 type)"		IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	L		
Classroom	L	301	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	L		
Classroom	L	310	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	L		
Classroom	L	311	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	L		
Express Stations	L	400	Windows PC	7	0	Windows PC Express Software							1		L		
Classroom	L	500	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	L		
Classroom	L	503	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	L		
Classroom	L	504	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	L		
Classroom	L	511	Mac	0	1	Mac Standard Software	LCD Cart		IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	L		
Classroom	L	601	SVGA Only	0	0		"SVGA Only, Dual independent LCD projectors (B4 type)"				Todays Classroom Schedule			1	L		
Classroom	L	602	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	L		
Classroom	L	603	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	L		
Classroom	L	612	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	L		
Classroom	L	701	Mac	0	1	Mac Standard Software	"Blu-ray, DVD, VHS, Aux HDMI & DVI connection, HD Projector (A4 type)"		IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	L		
Classroom	L	702	Mac	0	1	Mac Standard Software	"Blu-ray, DVD, VHS, Aux HDMI & DVI connection, HD Projector (A4 type)"		IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	L		
Classroom	L	703	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	L		
Classroom	L	704	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	L		
Classroom	L	711	Mac	0	1	Mac Standard Software	"Blu-ray, DVD, VHS, Aux HDMI & DVI connection, HD Projector (A4 type)"		IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	L		
Classroom	L	801	Mac	0	1	Mac Standard Software	"DVD, VHS (A1 type)"		IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	L		
Classroom	L	802	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	L		
Classroom	L	803	Mac	0	1	Mac Standard Software	"DVD, VHS (A1 type)"		IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	L		
Experimental Classroom	L	804	Mac	0	1	Mac Standard Software	"Blu-ray & DVD from PC, Document Camera, Stream & Capture device"		Media Services 212.229.5300 x2310		Todays Classroom Schedule			1	L		
Classroom	L	809	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	L		
Classroom	L	811	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	L		
Classroom	L	901	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	L		
Classroom	L	904	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	L		
Classroom	L	905	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	L		
Conference Room	L	mz100	SVGA Only	0	0		"42"" Plasma monitor"		Media Services 212.229.5300 x2310			1			L		
Classroom	M	100	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	M		
Event Space	M	101	Windows PC & Mac	1	1	Mac & Windows PC Standard Software			IT Service Desk 212.229.5300 x4357			1			M		
Classroom	N	3	Windows PC	31	0	Windows PC Standard Software	"Blu-ray, DVD, VHS, Aux HDMI & DVI connection, HD Projector (A1 type)"		IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule				N		
Classroom	N	5	Mac	21	0	Mac Standard Software	"Blu-ray, DVD, VHS, Aux HDMI & DVI connection, HD Projector (A1 type)"		IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule				N		
Classroom	N	400	Mac	0	1	Mac Standard Software + Avid	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	N		
Classroom	N	402	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	N		
Classroom	N	404	Mac	0	1	Mac Standard Software + Avid	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	N		
Conference Room	N	600F	SVGA Only	0	0		SVGA Only (B4 type)		Media Services 212.229.5300 x2310			1			N		
Classroom	N	603	Mac	0	1	Mac Standard Software	"Blu-ray, DVD, VHS, Aux HDMI & DVI connection, HD Projector (A4 type)"		IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	N		
Classroom	N	716	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	N		
Classroom	N	720	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	N		
Classroom	N	818	Mac	0	1	Mac Standard Software	"DVD, VHS (A1 type)"		IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	N		
Classroom	N	822	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	N		
Event Space	N	N101	Mac	0	1	Mac & Windows PC Standard Software	"BluRay,  VHS,  22in Touchscreen monitor"		Media Services 212.229.5300 x2310			1			N		
Classroom	U	L107	Windows PC	45	0	Windows PC Standard Software	"12in Touchscreen, MACR, Lecture Recording, (4) Large LCD Screen (U6 Type)"	x	IT Service Desk 212.229.5300 x4357	"2 Large Format Scanners,  2 Flat Bed Scanner"	Todays Classroom Schedule				U		
Classroom	U	L106	Mac	0	19	Mac Standard Software	"12in Touchscreen, MACR, Lecture Recording, (1) Projector, (3) Large LCD Screen (U6 Type)"	x	IT Service Desk 212.229.5300 x4357	"1 Large Format Scanners,  2 Flat Bed Scanner"	Todays Classroom Schedule				U		
Classroom	U	L100	Windows PC	32	0	Windows PC Standard Software	"12in Touchscreen, MACR, Lecture Recording, (4) Large LCD Screen (U6 Type)"	x	IT Service Desk 212.229.5300 x4357	"1 Large Format Scanners,  2 Flat Bed Scanner"	Todays Classroom Schedule				U		
Classroom	U	L101	Mac	0	19	Mac Standard Software	"12in Touchscreen, MACR, Lecture Recording, (1) Projector, (5) Large LCD Screen (U6 Type)"	x	IT Service Desk 212.229.5300 x4357	"1 Large Format Scanners,  2 Flat Bed Scanner"	Todays Classroom Schedule				U		
Auditorium	U	100	Windows PC & Mac	1	1	Mac & Windows PC Standard Software	"24"" Touchscreen, MACR, Lecture Recording, 3 Projectors with single blend image capability (U5 Type) "	x1884	 Media Services 212.229.5300 x2310			1		1	U		
Conference Room	U	106	Mac	0	1		"65"" LCD"	x2588	 Media Services 212.229.5300 x2310			1		1	U		
Auditorium Green Room	U	107	Mac	0	1	Mac & Windows PC Standard Software	"65"" LCD"	x1834	 Media Services 212.229.5300 x2310			1		1	U		
Auditorium Speaker Room	U	108	Mac	0	1	Mac & Windows PC Standard Software	"65"" LCD"	x2589	 Media Services 212.229.5300 x2310	Local Deskop Printer		1		1	U		
Large Design Studio	U	200	Mac	0	1	Mac & Windows PC Standard Software	"24in Touchscreen, MACR, Lecture Recording, Projector (U2 Type)"	x1712	IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	U		
Classroom Type 2-1	U	201	Windows PC & Mac	0	1	Mac & Windows PC Standard Software	"24"" Touchscreen, MACR, Lecture Recording, 80"" LCD, Projector (U3 Type)"	x1713	IT Service Desk 212.229.5300 x4357 Media Services 212.229.5300 x2310			1		1	U		
Classroom Type 2-1	U	202	Windows PC & Mac	0	1	Mac & Windows PC Standard Software	"24"" Touchscreen, MACR, Lecture Recording, 80"" LCD, Projector (U3 Type)"	x1714	IT Service Desk 212.229.5300 x4357 Media Services 212.229.5300 x2310		Todays Classroom Schedule	1		1	U		
Large Design Studio	U	204	Mac	0	1	Mac & Windows PC Standard Software	"24in Touchscreen, MACR, Lecture Recording, 65in Touch LCD (U2 Type)"	x1715	IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	U		
Drawing Studio	U	205	Mac	0	1	Mac & Windows PC Standard Software	"24in Touchscreen, MACR, Lecture Recording, 65in Touch LCD (U2 Type)"	x1716	IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	U		
Cafeteria Seating	U	206	Mac	0	1	CEA Content	LCD	x1717	Media Services 212.229.5300 x2310		Today's Classroom Schedule	1		1	U		
Large Design Studio	U	300	Mac	0	1	Mac & Windows PC Standard Software	"24in Touchscreen, MACR, Lecture Recording, Projector (U2 Type)"	x1726	IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	U		
Drawing Studio	U	303	Mac	0	1	Mac & Windows PC Standard Software	"24in Touchscreen, MACR, Lecture Recording, 65in Touch LCD (U2 Type)"	x1729	IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	U		
Distance Learning Classroom	U	304	Windows PC & Mac	1	1	Mac & Windows PC Standard Software	"24"" Touchscreen, 3 LCD (U1 Type)"	x1730	IT Service Desk 212.229.5300 x4357 Media Services 212.229.5300 x2310	"Lighting Control from Touch panel, Teleconference capability, Lecture Recording"	Todays Classroom Schedule	1		1	U		
Drawing Studio	U	305	Mac	0	1	Mac & Windows PC Standard Software	"24in Touchscreen, MACR, Lecture Recording, 65in Touch LCD (U2 Type)"	x1731	IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	U		
Drawing Studio	U	306	Mac	0	1	Mac & Windows PC Standard Software	"24in Touchscreen, MACR, Lecture Recording, 65in Touch LCD (U2 Type)"	x1732	IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	U		
Faculty Resource	U	308	Mac	0	7	Mac & Windows PC Standard Software	N/A	x1733	IT Service Desk 212.229.5300 x4357					1	U		
Drawing Studio	U	310	Mac	0	1	Mac & Windows PC Standard Software	"24in Touchscreen, MACR, Lecture Recording, 65in Touch LCD (U2 Type)"	x1734	IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	U		
Drawing Studio	U	311	Mac	0	1	Mac & Windows PC Standard Software	"24in Touchscreen, MACR, Lecture Recording, 65in Touch LCD (U2 Type)"	x1735	IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	U		
Large Design Studio	U	312	Mac	0	1	Mac & Windows PC Standard Software	"24in Touchscreen, MACR, Lecture Recording, 65in Touch LCD (U2 Type)"	x1736	IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	U		
Construction Studio	U	400	Mac	0	1	Mac & Windows PC Standard Software	"24in Touchscreen, MACR, Lecture Recording, Projector (U2 Type)"	x1747	IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	U		
Construction Studio	U	402	Mac	0	1	Mac & Windows PC Standard Software	"24in Touchscreen, MACR, Lecture Recording, Projector (U2 Type)"	x1748	IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	U		
Drawing Studio	U	403	Mac	0	1	Mac & Windows PC Standard Software	"24in Touchscreen, MACR, Lecture Recording, Projector (U2 Type)"	x1749	IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	U		
Drawing Studio	U	404	Mac	0	1	Mac & Windows PC Standard Software	"24in Touchscreen, MACR, Lecture Recording, Projector (U2 Type)"	x1750	IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	U		
Construction Studio	U	405	Mac	0	1	Mac & Windows PC Standard Software	"24in Touchscreen, MACR, Lecture Recording, Projector (U2 Type)"	x1751	IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	U		
Construction Studio	U	406	Mac	0	1	Mac & Windows PC Standard Software	"24in Touchscreen, MACR, Lecture Recording, Projector (U2 Type)"	x1752	IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	U		
Student Resource Meeting Room	U	407		0	0			x1753	Media Services 212.229.5300 x2310						U		
Urban Ecologies	U	411	Mac	0	1	Mac & Windows PC Standard Software	"24in Touchscreen, MACR, Lecture Recording, Projector (U2 Type)"	x1757	IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	U		
Construction Studio	U	412	Mac	0	1	Mac & Windows PC Standard Software	"24in Touchscreen, MACR, Lecture Recording, Projector (U2 Type)"	x1758	IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	U		
Urban Ecologies	U	417	Mac	0	1	Mac & Windows PC Standard Software	"24in Touchscreen, MACR, Lecture Recording, Projector (U2 Type)"	x1763	IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	U		
Construction Studio	U	418	Mac	0	1	Mac & Windows PC Standard Software	"24in Touchscreen, MACR, Lecture Recording, Projector (U2 Type)"	x1764	IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	U		
Student Resource	U	426	Mac	0	4	Mac Express Software	N/A	x1772	IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	U		
Student Resource	U	427	Mac	0	1	Mac Standard Software	LCD	x1773	Media Services 212.229.5300 x2310		Todays Classroom Schedule	1		1	U		
Construction Studio	U	428	Mac	0	1	Mac & Windows PC Standard Software	"24in Touchscreen, MACR, Lecture Recording, Projector (U2 Type)"	x1774	IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	U		
Construction Studio	U	429	Mac	0	1	Mac & Windows PC Standard Software	"24in Touchscreen, MACR, Lecture Recording, Projector (U2 Type)"	x1887	IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	U		
Construction Studio	U	430	Mac	0	1	Mac & Windows PC Standard Software	"24in Touchscreen, MACR, Lecture Recording, Projector (U2 Type)"	x1888	IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	U		
Construction Studio	U	431	Mac	0	1	Mac & Windows PC Standard Software	"24in Touchscreen, MACR, Lecture Recording, Projector (U2 Type)"	x1889	IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	U		
Print Center	U	432	Windows PC & Mac	2	2	Mac & Windows PC Standard Software	2 LCDs for print queue monitoring 	x1890 and x1819	IT Service Desk 212.229.5300 x4357	"1 Large Scanner 1 IDF Scanner 1 Small Scanner 2 Color Printers 2 B&W Printers 2 Large Format Printers Z6200, 42"" and 60"""	Todays Classroom Schedule		1	1	U		
Construction Studio	U	500		0	0			x1896	IT Service Desk 212.229.5300 x4357						U		
Drawing Studio	U	502	Mac	0	1	Mac & Windows PC Standard Software	"24in Touchscreen, MACR, Lecture Recording, Projector (U2 Type)"	x1898	IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	U		
Drawing Studio	U	503	Mac	0	1	Mac & Windows PC Standard Software	"24in Touchscreen, MACR, Lecture Recording, Projector (U2 Type)"	x1899	IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	U		
Construction Studio	U	504	Mac	0	1	Mac & Windows PC Standard Software	"24in Touchscreen, MACR, Lecture Recording, Projector (U2 Type)"	x1700	IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	U		
Student Lounge	U	505		0				x1701	Media Services 212.229.5300 x2310						U		
Construction Studio	U	506	Mac	0	1	Mac & Windows PC Standard Software	"24in Touchscreen, MACR, Lecture Recording, Projector (U2 Type)"	x1702	IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	U		
Drawing Studio	U	508	Mac	0	1	Mac & Windows PC Standard Software	"24in Touchscreen, MACR, Lecture Recording, Projector (U2 Type)"	x1703	IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	U		
Construction Studio	U	509	Mac	0	1	Mac & Windows PC Standard Software	"24in Touchscreen, MACR, Lecture Recording, Projector (U2 Type)"	x1704	IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	U		
Construction Studio	U	510	Mac	0	1	Mac & Windows PC Standard Software	"24in Touchscreen, MACR, Lecture Recording, Projector (U2 Type)"	x1705	IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	U		
Construction Studio	U	511	Mac	0	1	Mac & Windows PC Standard Software	"24in Touchscreen, MACR, Lecture Recording, Projector (U2 Type)"	x1706	IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	U		
University Resource Meeting Space	U	513	Mac	0	1	Mac Standard Software	"65"" LCD "	x1708	IT Service Desk 212.229.5300 x4357						U		
University Resource Meeting Space	U	514	Mac	0	1	Mac Standard Software	"65"" LCD "	x1709	IT Service Desk 212.229.5300 x4357						U		
Construction Studio	U	515	Mac	0	1	Mac & Windows PC Standard Software	"24in Touchscreen, MACR, Lecture Recording, Projector (U2 Type)"	x1710	IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	U		
Construction Studio	U	516	Mac	0	1	Mac & Windows PC Standard Software	"24in Touchscreen, MACR, Lecture Recording, Projector (U2 Type)"	x1711	IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	U		
Drawing Studio	U	517	Mac	0	1	Mac & Windows PC Standard Software	"24in Touchscreen, MACR, Lecture Recording, Projector (U2 Type)"	x2526	IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	U		
Construction Studio	U	518	Mac	0	1	Mac & Windows PC Standard Software	"24in Touchscreen, MACR, Lecture Recording, Projector (U2 Type)"	x2527	IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	U		
Drawing Studio	U	519	Mac	0	1	Mac & Windows PC Standard Software	"24in Touchscreen, MACR, Lecture Recording, Projector (U2 Type)"	x2528	IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	U		
Coming Soon	U	520	Mac	0	1	Mac & Windows PC Standard Software	"65"" LCD "	x2529	IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	U		
Classroom (Drawing Studio)	U	600	Mac	0	1	Mac & Windows PC Standard Software	"24in Touchscreen, MACR, Lecture Recording, Projector (U2 Type)"	x2533	IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	U		
Classroom (Large Design Studio)	U	601	Mac	0	1	Mac & Windows PC Standard Software	"24in Touchscreen, MACR, Lecture Recording, Projector (U2 Type)"	x2534	IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	U		
Classroom Type 2-4 (Drawing Studio)	U	602	Mac	0	1	Mac & Windows PC Standard Software	"24in Touchscreen, MACR, Lecture Recording, Projector (U2 Type)"	x2535	IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	U		
Large Design Studio	U	617	Mac	0	1	Mac & Windows PC Standard Software	"24in Touchscreen, MACR, Lecture Recording, Projector (U2 Type)"	x2542	IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	U		
Science Lab	U	618	Mac	0	1	Mac & Windows PC Standard Software	"24in Touchscreen, MACR, Lecture Recording, Projector (U2 Type)"	x2543	IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	U		
Drawing Studio	U	619	Mac	0	1	Mac & Windows PC Standard Software	"24in Touchscreen, MACR, Lecture Recording, Projector (U2 Type)"	x2544	IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	U		
Large Design Studio	U	620	Mac	0	1	Mac & Windows PC Standard Software	"24in Touchscreen, MACR, Lecture Recording, Projector (U2 Type)"	x2545	IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	U		
CLASSROOM TYPE 2-3	U	622	Mac	0	1	Mac & Windows PC Standard Software	"24in Touchscreen, MACR, Lecture Recording, Projector (U2 Type)"	x2547	IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	U		
Library Caf?	U	700	Mac	0	1	CEA Content	LCD	x2562	Media Services 212.229.5300 x2310			1			U		
